ConsumptionkWh,HeatingCategory,HousingCategory,Municipality,MunicipalityCode,RegionName,TimeDK,TimeUTC
2028.72,Andet,Andet,København,101,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
10.5,Elvarme eller varmepumpe,Andet,København,101,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
36380.67,Andet,Etageejendom,København,101,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
218.23,Elvarme eller varmepumpe,Etageejendom,København,101,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
222.23,Andet,Fritidshuse,København,101,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
184.5,Elvarme eller varmepumpe,Fritidshuse,København,101,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
7878.402,Andet,Parcel- og rækkehuse,København,101,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
387.62,Elvarme eller varmepumpe,Parcel- og rækkehuse,København,101,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
128.44,Andet,Andet,Frederiksberg,147,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
6789.947,Andet,Etageejendom,Frederiksberg,147,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
807.75,Andet,Parcel- og rækkehuse,Frederiksberg,147,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
43.78,Elvarme eller varmepumpe,Ukendt,Frederiksberg,147,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
97.78,Andet,Andet,Ballerup,151,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
1777.16,Andet,Etageejendom,Ballerup,151,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
115.58,Andet,Fritidshuse,Ballerup,151,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
2869.817,Andet,Parcel- og rækkehuse,Ballerup,151,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
1228.63,Elvarme eller varmepumpe,Ukendt,Ballerup,151,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
153.15,Andet,Andet,Brøndby,153,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
1725.5,Andet,Etageejendom,Brøndby,153,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
39.38,Andet,Fritidshuse,Brøndby,153,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
1852.129,Andet,Parcel- og rækkehuse,Brøndby,153,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
270.93,Elvarme eller varmepumpe,Ukendt,Brøndby,153,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
42.77,Andet,Andet,Dragør,155,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
143.64,Andet,Etageejendom,Dragør,155,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
30.98,Andet,Fritidshuse,Dragør,155,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
1408.27,Andet,Parcel- og rækkehuse,Dragør,155,Region Hovedstaden,2025-04-30T23:00:00,2025-04-30T21:00:00
