Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2025-01-01T00:00:00.000000,Denmark,Denmark,DK,37.44,64.57,94.71,90.71,entsoe.eu,false,""
2025-01-01T01:00:00.000000,Denmark,Denmark,DK,31.26,59.04,95.45,91.36,entsoe.eu,false,""
2025-01-01T02:00:00.000000,Denmark,Denmark,DK,30.69,57.58,95.12,91.83,entsoe.eu,false,""
2025-01-01T03:00:00.000000,Denmark,Denmark,DK,28.18,53.76,95.57,93.84,entsoe.eu,false,""
2025-01-01T04:00:00.000000,Denmark,Denmark,DK,27.99,53.62,95.08,94.02,entsoe.eu,false,""
2025-01-01T05:00:00.000000,Denmark,Denmark,DK,26.01,52.38,95.21,93.85,entsoe.eu,false,""
2025-01-01T06:00:00.000000,Denmark,Denmark,DK,39.69,68.24,94.05,92.8,entsoe.eu,false,""
2025-01-01T07:00:00.000000,Denmark,Denmark,DK,22.05,48.34,96.7,92.96,entsoe.eu,false,""
2025-01-01T08:00:00.000000,Denmark,Denmark,DK,24.09,52.9,96.43,92.22,entsoe.eu,false,""
2025-01-01T09:00:00.000000,Denmark,Denmark,DK,37.67,70.17,94.63,90.87,entsoe.eu,false,""
2025-01-01T10:00:00.000000,Denmark,Denmark,DK,44.83,79.82,93.69,89.91,entsoe.eu,false,""
2025-01-01T11:00:00.000000,Denmark,Denmark,DK,47.68,83.8,93.4,90.14,entsoe.eu,false,""
2025-01-01T12:00:00.000000,Denmark,Denmark,DK,50.23,85.75,93.06,89.99,entsoe.eu,false,""
2025-01-01T13:00:00.000000,Denmark,Denmark,DK,51.86,86.51,92.86,89.8,entsoe.eu,false,""
2025-01-01T14:00:00.000000,Denmark,Denmark,DK,53.71,88.12,92.59,91.43,entsoe.eu,false,""
2025-01-01T15:00:00.000000,Denmark,Denmark,DK,65.5,103.67,91.01,90.25,entsoe.eu,false,""
2025-01-01T16:00:00.000000,Denmark,Denmark,DK,72.54,110.61,90.1,89.33,entsoe.eu,false,""
2025-01-01T17:00:00.000000,Denmark,Denmark,DK,69.01,106.6,90.65,88.43,entsoe.eu,false,""
2025-01-01T18:00:00.000000,Denmark,Denmark,DK,63.92,102.93,91.37,89.37,entsoe.eu,false,""
2025-01-01T19:00:00.000000,Denmark,Denmark,DK,67.77,106.5,90.93,87.96,entsoe.eu,false,""
2025-01-01T20:00:00.000000,Denmark,Denmark,DK,66.54,105.44,91.11,87.84,entsoe.eu,false,""
2025-01-01T21:00:00.000000,Denmark,Denmark,DK,60.28,97.88,91.87,87.82,entsoe.eu,false,""
2025-01-01T22:00:00.000000,Denmark,Denmark,DK,65.93,103.46,91.08,87.58,entsoe.eu,false,""
2025-01-01T23:00:00.000000,Denmark,Denmark,DK,79.88,120.05,89.46,86.19,entsoe.eu,false,""
2025-01-02T00:00:00.000000,Denmark,Denmark,DK,84.1,127.21,89.09,86.27,entsoe.eu,false,""
2025-01-02T01:00:00.000000,Denmark,Denmark,DK,73.57,117.95,90.3,87.67,entsoe.eu,false,""
2025-01-02T02:00:00.000000,Denmark,Denmark,DK,71.12,112.95,90.45,89.14,entsoe.eu,false,""
2025-01-02T03:00:00.000000,Denmark,Denmark,DK,88.86,135.91,88.04,86.29,entsoe.eu,false,""
2025-01-02T04:00:00.000000,Denmark,Denmark,DK,74.79,122.15,89.64,83.97,entsoe.eu,false,""
2025-01-02T05:00:00.000000,Denmark,Denmark,DK,71.15,122.66,89.89,84.15,entsoe.eu,false,""
2025-01-02T06:00:00.000000,Denmark,Denmark,DK,94.21,152.17,85.94,80.33,entsoe.eu,false,""
2025-01-02T07:00:00.000000,Denmark,Denmark,DK,102.62,162.15,84.84,79.06,entsoe.eu,false,""
2025-01-02T08:00:00.000000,Denmark,Denmark,DK,85.51,143.76,87.0,80.92,entsoe.eu,false,""
2025-01-02T09:00:00.000000,Denmark,Denmark,DK,87.03,145.64,86.81,81.96,entsoe.eu,false,""
2025-01-02T10:00:00.000000,Denmark,Denmark,DK,72.14,129.66,88.97,84.63,entsoe.eu,false,""
2025-01-02T11:00:00.000000,Denmark,Denmark,DK,64.31,120.4,90.16,85.56,entsoe.eu,false,""
2025-01-02T12:00:00.000000,Denmark,Denmark,DK,58.12,113.98,90.91,86.24,entsoe.eu,false,""
