station_id,name,country,latitude,longitude,status,valid_from,valid_to,measures_sunshine,measures_radiation,sunshine_observations,radiation_observations,first_sunshine_date,last_sunshine_date,first_radiation_date,last_radiation_date,measurement_types
04220,Aasiaat,GRL,68.7081,-52.8517,Active,1958-01-01T00:00:00Z,2019-01-15T13:34:47Z,False,True,0,17883,,,2013-12-31T06:00:00+00:00,2025-09-24T06:00:00+00:00,mean_radiation
04250,Nuuk,GRL,64.1833,-51.7308,Active,1958-01-01T00:00:00Z,1991-09-01T00:00:00Z,False,True,0,6299,,,2013-12-31T06:00:00+00:00,2025-09-24T06:00:00+00:00,mean_radiation
04271,Narsarsuaq,GRL,61.1575,-45.44,Active,2024-05-28T11:53:16Z,,False,True,0,3248,,,2013-12-31T06:00:00+00:00,2025-09-24T06:00:00+00:00,mean_radiation
04320,Danmarkshavn,GRL,76.7694,-18.6681,Active,2019-01-15T13:34:47Z,,False,True,0,21075,,,2013-12-31T06:00:00+00:00,2025-09-24T06:00:00+00:00,mean_radiation
04339,Ittoqqortoormiit,GRL,70.4844,-21.9511,Active,1980-11-01T00:00:00Z,2005-08-17T00:00:00Z,False,True,0,11350,,,2013-12-31T06:00:00+00:00,2025-09-24T06:00:00+00:00,mean_radiation
04360,Tasiilaq,GRL,65.6111,-37.6367,Active,1982-04-01T00:00:00Z,2005-08-15T00:00:00Z,False,True,0,6173,,,2014-01-07T06:00:00+00:00,2025-09-24T06:00:00+00:00,mean_radiation
06011,Torshavn,FRO,62.0232,-6.7644,Active,1967-03-19T00:00:00Z,2020-08-03T07:46:27Z,False,True,0,5400,,,2013-12-31T06:00:00+00:00,2025-09-24T06:00:00+00:00,mean_radiation
06019,Silstrup,DNK,56.93,8.6412,Active,2019-01-30T15:20:15Z,,True,True,10715,8165,2011-01-01T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,2011-01-01T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,"bright_sunshine, mean_radiation"
06031,Tylstrup,DNK,57.1852,9.9527,Active,2023-12-14T08:11:58Z,,True,True,10716,8164,2011-01-01T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,2011-01-01T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,"bright_sunshine, mean_radiation"
06041,Skagen Fyr,DNK,57.7364,10.6316,Active,2019-01-30T15:42:23Z,,True,True,10715,8164,2011-01-01T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,2011-01-01T00:00:00.001000+01:00,2025-09-24T00:00:00.001000+02:00,"bright_sunshine, mean_radiation"
